judet,tip,localitate,n_locuinte,n_pad,coverage_rate,predicted_coverage_rate,current_premium_eur,opportunity_eur,addressable_market_eur,tsi_actual,tsi_predicted,pred_lower,pred_upper,accumulation_index
Satu Mare,3. COMUNA,HALMEU,1643,284,0.1729,0.1499,5680.0000,0.0000,32860.0000,5680000.0000,4926699.1737,0.1412,0.1694,0.0000
Prahova,3. COMUNA,VADU SAPAT,768,102,0.1328,0.1094,2040.0000,0.0000,15360.0000,2040000.0000,1680176.5262,0.1031,0.1321,1253355.4832
Salaj,1. MUNICIPIU,ZALAU,27223,9943,0.3652,0.2812,198860.0000,0.0000,544460.0000,198860000.0000,153080157.2342,0.2729,0.3685,0.0000
Satu Mare,3. COMUNA,FOIENI,635,147,0.2315,0.2004,2940.0000,0.0000,12700.0000,2940000.0000,2545427.9316,0.1820,0.2345,0.0000
Salaj,2. ORAS,CEHU SILVANIEI,3060,734,0.2399,0.2107,14680.0000,0.0000,61200.0000,14680000.0000,12892031.0478,0.2112,0.2588,0.0000
Satu Mare,3. COMUNA,DOROLT,1284,362,0.2819,0.2447,7240.0000,0.0000,25680.0000,7240000.0000,6283168.6267,0.2496,0.2904,0.0000
Salaj,2. ORAS,JIBOU,4460,1294,0.2901,0.2288,25880.0000,0.0000,89200.0000,25880000.0000,20406257.6817,0.2270,0.2849,0.0000
Satu Mare,3. COMUNA,DOBA,1139,251,0.2204,0.2018,5020.0000,0.0000,22780.0000,5020000.0000,4597895.0213,0.1891,0.2172,0.0000
Satu Mare,3. COMUNA,TEREBESTI,650,101,0.1554,0.1256,2020.0000,0.0000,13000.0000,2020000.0000,1632357.9118,0.1034,0.1510,0.0000
Bacau,3. COMUNA,PODURI,2943,485,0.1648,0.1346,9700.0000,0.0000,58860.0000,9700000.0000,7920402.0562,0.1251,0.1673,3332979.6189
Bacau,3. COMUNA,RACACIUNI,2739,396,0.1446,0.1400,7920.0000,0.0000,54780.0000,7920000.0000,7668876.7989,0.1191,0.1522,3227135.4269
Bacau,3. COMUNA,LIPOVA,1225,200,0.1633,0.1245,4000.0000,0.0000,24500.0000,4000000.0000,3050086.8168,0.1084,0.1562,1283505.1964
Bacau,3. COMUNA,URECHESTI,1608,191,0.1188,0.1077,3820.0000,0.0000,32160.0000,3820000.0000,3464794.0962,0.1011,0.1231,1458017.9168
Bacau,3. COMUNA,IZVORU BERHECIULUI,839,89,0.1061,0.0965,1780.0000,0.0000,16780.0000,1780000.0000,1618529.7337,0.0881,0.1093,681092.5224
Bacau,3. COMUNA,GLAVANESTI,1586,193,0.1217,0.1150,3860.0000,0.0000,31720.0000,3860000.0000,3647512.2438,0.0988,0.1227,1534907.4304
Bacau,3. COMUNA,GARLENI,2180,326,0.1495,0.1299,6520.0000,0.0000,43600.0000,6520000.0000,5663855.4357,0.1246,0.1523,2383403.5946
Bacau,3. COMUNA,VALEA SEACA,1472,217,0.1474,0.1077,4340.0000,0.0000,29440.0000,4340000.0000,3171980.5156,0.0917,0.1407,1334799.2103
Bacau,3. COMUNA,GAICEANA,1268,112,0.0883,0.0766,2240.0000,0.0000,25360.0000,2240000.0000,1942891.8431,0.0646,0.0861,817587.1463
Bacau,3. COMUNA,BERESTI-BISTRITA,992,108,0.1089,0.1030,2160.0000,0.0000,19840.0000,2160000.0000,2043500.5724,0.0987,0.1175,859924.2451
Bacau,3. COMUNA,VULTURENI,1077,79,0.0734,0.0731,1580.0000,0.0000,21540.0000,1580000.0000,1574669.1920,0.0645,0.0803,662635.5943
Bacau,3. COMUNA,ZEMES,1707,293,0.1716,0.1710,5860.0000,0.0000,34140.0000,5860000.0000,5838082.3113,0.1581,0.1895,2456719.9012
Bacau,3. COMUNA,SARATA,1114,198,0.1777,0.1499,3960.0000,0.0000,22280.0000,3960000.0000,3339787.1696,0.1361,0.1790,1405413.8273
Satu Mare,3. COMUNA,URZICENI,563,110,0.1954,0.1835,2200.0000,0.0000,11260.0000,2200000.0000,2066366.9286,0.1707,0.2181,0.0000
Bacau,3. COMUNA,BUCIUMI,1394,178,0.1277,0.0986,3560.0000,0.0000,27880.0000,3560000.0000,2749513.0191,0.0887,0.1225,1157020.9176
Satu Mare,3. COMUNA,CULCIU,1562,356,0.2279,0.2025,7120.0000,0.0000,31240.0000,7120000.0000,6325103.3451,0.1965,0.2298,0.0000
Alba,3. COMUNA,SUGAG,1791,344,0.1921,0.1889,6880.0000,0.0000,35820.0000,6880000.0000,6765357.5851,0.1778,0.2143,0.0000
Alba,3. COMUNA,UNIREA,2096,365,0.1741,0.1561,7300.0000,0.0000,41920.0000,7300000.0000,6545484.1160,0.1433,0.1739,0.0000
Valcea,2. ORAS,HOREZU,2813,622,0.2211,0.1917,12440.0000,0.0000,56260.0000,12440000.0000,10782527.1122,0.1798,0.2405,0.0000
Valcea,2. ORAS,OCNELE MARI,1532,312,0.2037,0.1586,6240.0000,0.0000,30640.0000,6240000.0000,4859828.9819,0.1473,0.2057,0.0000
Valcea,3. COMUNA,AMARASTI,1243,90,0.0724,0.0701,1800.0000,0.0000,24860.0000,1800000.0000,1743287.7437,0.0640,0.0723,0.0000
Valcea,3. COMUNA,BUDESTI,2546,644,0.2529,0.1732,12880.0000,0.0000,50920.0000,12880000.0000,8820500.0419,0.1483,0.2471,0.0000
Valcea,3. COMUNA,BUJORENI,2066,573,0.2773,0.1477,11460.0000,0.0000,41320.0000,11460000.0000,6102422.6788,0.1314,0.2377,0.0000
Valcea,3. COMUNA,COPACENI,1253,116,0.0926,0.0848,2320.0000,0.0000,25060.0000,2320000.0000,2123912.9438,0.0790,0.1003,0.0000
Valcea,3. COMUNA,COSTESTI,1468,254,0.1730,0.1523,5080.0000,0.0000,29360.0000,5080000.0000,4472639.4184,0.1484,0.1971,0.0000
Valcea,3. COMUNA,CRETENI,1104,81,0.0734,0.0715,1620.0000,0.0000,22080.0000,1620000.0000,1577960.2270,0.0677,0.0790,0.0000
Valcea,3. COMUNA,DAESTI,1314,276,0.2100,0.1736,5520.0000,0.0000,26280.0000,5520000.0000,4562183.6176,0.1517,0.2145,0.0000
Valcea,3. COMUNA,DRAGOESTI,1033,84,0.0813,0.0778,1680.0000,0.0000,20660.0000,1680000.0000,1608194.5497,0.0698,0.0834,0.0000
Bihor,3. COMUNA,DRAGANESTI,1042,339,0.3253,0.2518,6780.0000,0.0000,20840.0000,6780000.0000,5247390.5313,0.2498,0.3214,2471155.6175
Arad,2. ORAS,SEBIS,2537,850,0.3350,0.2091,17000.0000,0.0000,50740.0000,17000000.0000,10608716.5260,0.2061,0.3266,270201.4493
Arad,2. ORAS,SANTANA,4060,860,0.2118,0.1871,17200.0000,0.0000,81200.0000,17200000.0000,15192981.9986,0.1615,0.2233,386961.5843
Arad,3. COMUNA,FANTANELE,1081,371,0.3432,0.2192,7420.0000,0.0000,21620.0000,7420000.0000,4738711.1070,0.1931,0.3161,120693.8281
Arad,3. COMUNA,LIVADA,1819,686,0.3771,0.2385,13720.0000,0.0000,36380.0000,13720000.0000,8677017.8164,0.2641,0.3756,221001.5494
Arad,3. COMUNA,SOFRONEA,1124,357,0.3176,0.2427,7140.0000,0.0000,22480.0000,7140000.0000,5456310.1805,0.2334,0.3287,138970.9033
Arad,3. COMUNA,VLADIMIRESCU,5410,2061,0.3810,0.3156,41220.0000,0.0000,108200.0000,41220000.0000,34150753.4691,0.3124,0.4113,869811.4478
Arad,3. COMUNA,ALMAS,1009,186,0.1843,0.1671,3720.0000,0.0000,20180.0000,3720000.0000,3372104.0093,0.1606,0.1943,85886.6752
Arad,3. COMUNA,BELIU,1318,138,0.1047,0.1032,2760.0000,0.0000,26360.0000,2760000.0000,2719653.5067,0.0924,0.1151,69268.9184
Arad,3. COMUNA,BARSA,800,130,0.1625,0.1441,2600.0000,0.0000,16000.0000,2600000.0000,2306061.1203,0.1349,0.1636,58734.8201
Valcea,1. MUNICIPIU,RAMNICU VALCEA,48732,15717,0.3225,0.2670,314340.0000,0.0000,974640.0000,314340000.0000,260243377.1773,0.2428,0.3236,0.0000
Valcea,2. ORAS,BAILE GOVORA,1269,264,0.2080,0.1399,5280.0000,0.0000,25380.0000,5280000.0000,3550576.8794,0.1406,0.2074,0.0000
Valcea,2. ORAS,BAILE OLANESTI,2048,474,0.2314,0.2029,9480.0000,0.0000,40960.0000,9480000.0000,8310331.6437,0.1786,0.2360,0.0000
Valcea,3. COMUNA,GALICEA,1727,197,0.1141,0.1065,3940.0000,0.0000,34540.0000,3940000.0000,3678966.2393,0.0969,0.1226,0.0000
Valcea,3. COMUNA,ROESTI,1071,111,0.1036,0.0769,2220.0000,0.0000,21420.0000,2220000.0000,1647284.4571,0.0717,0.0989,0.0000
Valcea,3. COMUNA,RUNCU,679,86,0.1267,0.0989,1720.0000,0.0000,13580.0000,1720000.0000,1343449.9404,0.0903,0.1241,0.0000
Valcea,3. COMUNA,SALATRUCEL,1035,136,0.1314,0.1249,2720.0000,0.0000,20700.0000,2720000.0000,2584872.7155,0.1174,0.1576,0.0000
Valcea,3. COMUNA,SCUNDU,1093,82,0.0750,0.0696,1640.0000,0.0000,21860.0000,1640000.0000,1521036.6525,0.0664,0.0759,0.0000
Valcea,3. COMUNA,SINESTI,1076,92,0.0855,0.0819,1840.0000,0.0000,21520.0000,1840000.0000,1763413.9755,0.0752,0.0990,0.0000
Valcea,3. COMUNA,SUTESTI,1096,108,0.0985,0.0816,2160.0000,0.0000,21920.0000,2160000.0000,1788331.4568,0.0681,0.0931,0.0000
Valcea,3. COMUNA,STEFANESTI,1318,102,0.0774,0.0720,2040.0000,0.0000,26360.0000,2040000.0000,1897964.9119,0.0639,0.0806,0.0000
Valcea,3. COMUNA,SUSANI,1889,144,0.0762,0.0627,2880.0000,0.0000,37780.0000,2880000.0000,2369636.3649,0.0577,0.0717,0.0000
Valcea,3. COMUNA,VAIDEENI,1964,265,0.1349,0.1301,5300.0000,0.0000,39280.0000,5300000.0000,5109383.7400,0.1213,0.1778,0.0000
Alba,3. COMUNA,VINTU DE JOS,1935,534,0.2760,0.1864,10680.0000,0.0000,38700.0000,10680000.0000,7213260.4066,0.1581,0.2401,0.0000
Alba,3. COMUNA,CUT,502,113,0.2251,0.1498,2260.0000,0.0000,10040.0000,2260000.0000,1503517.8417,0.1441,0.2213,0.0000
Alba,3. COMUNA,BUCERDEA GRANOASA,817,118,0.1444,0.1399,2360.0000,0.0000,16340.0000,2360000.0000,2285736.3683,0.1301,0.1617,0.0000
Alba,3. COMUNA,SPRING,1204,191,0.1586,0.1548,3820.0000,0.0000,24080.0000,3820000.0000,3728768.0197,0.1525,0.1792,0.0000
Arad,2. ORAS,CHISINEU-CRIS,3247,813,0.2504,0.2076,16260.0000,0.0000,64940.0000,16260000.0000,13480018.5912,0.1788,0.2452,343332.8198
Arad,2. ORAS,LIPOVA,5034,1299,0.2580,0.2357,25980.0000,0.0000,100680.0000,25980000.0000,23728572.2728,0.2090,0.2633,604361.0084
Valcea,3. COMUNA,MIHAESTI,2755,598,0.2171,0.1744,11960.0000,0.0000,55100.0000,11960000.0000,9608027.4439,0.1542,0.2173,0.0000
Valcea,3. COMUNA,MILCOIU,788,156,0.1980,0.1251,3120.0000,0.0000,15760.0000,3120000.0000,1972152.0459,0.1111,0.1873,0.0000
Valcea,3. COMUNA,PAUSESTI-MAGLASI,1937,406,0.2096,0.1752,8120.0000,0.0000,38740.0000,8120000.0000,6785753.4369,0.1631,0.2210,0.0000
Valcea,3. COMUNA,GUSOENI,950,77,0.0811,0.0658,1540.0000,0.0000,19000.0000,1540000.0000,1249974.5079,0.0623,0.0780,0.0000
Valcea,3. COMUNA,IONESTI,1969,169,0.0858,0.0827,3380.0000,0.0000,39380.0000,3380000.0000,3258523.0717,0.0775,0.0972,0.0000
Valcea,3. COMUNA,LADESTI,1216,80,0.0658,0.0648,1600.0000,0.0000,24320.0000,1600000.0000,1576123.5864,0.0595,0.0710,0.0000
Valcea,3. COMUNA,LAPUSATA,1147,109,0.0950,0.0837,2180.0000,0.0000,22940.0000,2180000.0000,1919448.0539,0.0792,0.0988,0.0000
Valcea,3. COMUNA,MALAIA,991,348,0.3512,0.1631,6960.0000,0.0000,19820.0000,6960000.0000,3233438.6988,0.1260,0.2714,0.0000
Valcea,3. COMUNA,MATEESTI,1423,160,0.1124,0.1091,3200.0000,0.0000,28460.0000,3200000.0000,3104358.2055,0.0976,0.1215,0.0000
Alba,3. COMUNA,SIBOT,1083,241,0.2225,0.1767,4820.0000,0.0000,21660.0000,4820000.0000,3828252.7424,0.1553,0.2164,0.0000
Arad,1. MUNICIPIU,ARAD,85233,29935,0.3512,0.3383,598700.0000,0.0000,1704660.0000,598700000.0000,576753816.1827,0.3398,0.4084,14689780.4856
Tulcea,2. ORAS,ISACCEA,2022,279,0.1380,0.1362,5580.0000,0.0000,40440.0000,5580000.0000,5509322.8014,0.1253,0.1720,1104146.1477
Tulcea,2. ORAS,MACIN,3792,644,0.1698,0.1301,12880.0000,0.0000,75840.0000,12880000.0000,9868343.2988,0.1081,0.1688,1977755.4575
Tulcea,2. ORAS,SULINA,1994,385,0.1931,0.1505,7700.0000,0.0000,39880.0000,7700000.0000,6000131.7836,0.1306,0.1893,1202511.2039
Tulcea,3. COMUNA,BAIA,1811,185,0.1022,0.0969,3700.0000,0.0000,36220.0000,3700000.0000,3509814.6646,0.0914,0.1232,703416.4598
Tulcea,3. COMUNA,CASIMCEA,1102,110,0.0998,0.0770,2200.0000,0.0000,22040.0000,2200000.0000,1697998.1736,0.0737,0.0987,340302.8303
Tulcea,3. COMUNA,CEATALCHIOI,366,66,0.1803,0.1124,1320.0000,0.0000,7320.0000,1320000.0000,822429.4469,0.1088,0.1745,164826.4838
Tulcea,3. COMUNA,CEAMURLIA DE JOS,919,135,0.1469,0.1049,2700.0000,0.0000,18380.0000,2700000.0000,1928618.5579,0.0953,0.1409,386522.4144
Tulcea,3. COMUNA,CIUCUROVA,833,70,0.0840,0.0757,1400.0000,0.0000,16660.0000,1400000.0000,1260644.5518,0.0661,0.0918,252650.9837
Arad,3. COMUNA,BARZAVA,1293,211,0.1632,0.1578,4220.0000,0.0000,25860.0000,4220000.0000,4080356.7387,0.1434,0.1739,103925.7012
Arad,3. COMUNA,BOCSIG,1403,156,0.1112,0.1079,3120.0000,0.0000,28060.0000,3120000.0000,3027018.7332,0.0968,0.1160,77097.4365
Arad,3. COMUNA,IGNESTI,287,55,0.1916,0.1251,1100.0000,0.0000,5740.0000,1100000.0000,718099.4854,0.1280,0.1866,18289.8206
Arad,3. COMUNA,MONEASA,518,151,0.2915,0.1552,3020.0000,0.0000,10360.0000,3020000.0000,1608299.7906,0.1511,0.2819,40963.0075
Valcea,2. ORAS,BREZOI,3039,792,0.2606,0.1709,15840.0000,0.0000,60780.0000,15840000.0000,10388122.8194,0.1448,0.2618,0.0000
Arad,3. COMUNA,PEREGU MARE,888,184,0.2072,0.1473,3680.0000,0.0000,17760.0000,3680000.0000,2615198.1338,0.1321,0.2019,66608.4652
Arad,3. COMUNA,PLESCUTA,656,109,0.1662,0.1372,2180.0000,0.0000,13120.0000,2180000.0000,1800305.5944,0.1346,0.1663,45853.3489
Timis,3. COMUNA,DUDESTII NOI,1020,345,0.3382,0.2974,6900.0000,0.0000,20400.0000,6900000.0000,6066075.4985,0.3008,0.3789,1761255.2729
Timis,3. COMUNA,FIBIS,701,105,0.1498,0.1154,2100.0000,0.0000,14020.0000,2100000.0000,1617656.8058,0.1118,0.1548,469678.7205
Timis,3. COMUNA,PADURENI,670,203,0.3030,0.2193,4060.0000,0.0000,13400.0000,4060000.0000,2938008.9375,0.2184,0.3063,853036.4869
Timis,3. COMUNA,SANDRA,1019,178,0.1747,0.1675,3560.0000,0.0000,20380.0000,3560000.0000,3412708.2277,0.1463,0.1882,990863.0979
Timis,3. COMUNA,PESAC,761,109,0.1432,0.1254,2180.0000,0.0000,15220.0000,2180000.0000,1907925.4045,0.0960,0.1385,553956.7847
Arad,3. COMUNA,SELEUS,1335,147,0.1101,0.1090,2940.0000,0.0000,26700.0000,2940000.0000,2909855.3636,0.0951,0.1120,74113.3138
Timis,3. COMUNA,SANANDREI,2796,1558,0.5572,0.3492,31160.0000,0.0000,55920.0000,31160000.0000,19525210.1097,0.3230,0.5427,5669049.0034
Timis,3. COMUNA,SANMIHAIU ROMAN,3709,1687,0.4548,0.3812,33740.0000,0.0000,74180.0000,33740000.0000,28276060.4786,0.3508,0.4782,8209815.4937
Timis,3. COMUNA,SAG,2159,1132,0.5243,0.3072,22640.0000,0.0000,43180.0000,22640000.0000,13266717.3378,0.3037,0.5044,3851926.3188
Timis,3. COMUNA,TRAIAN VUIA,804,228,0.2836,0.2040,4560.0000,0.0000,16080.0000,4560000.0000,3280165.0483,0.1960,0.2690,952379.8358
Arad,3. COMUNA,PAULIS,1843,595,0.3228,0.1883,11900.0000,0.0000,36860.0000,11900000.0000,6941669.0612,0.1906,0.2983,176802.6355
Valcea,2. ORAS,CALIMANESTI,3613,895,0.2477,0.1863,17900.0000,0.0000,72260.0000,17900000.0000,13464594.8496,0.1472,0.2467,0.0000
Tulcea,3. COMUNA,MALIUC,556,102,0.1835,0.1259,2040.0000,0.0000,11120.0000,2040000.0000,1399876.6743,0.1155,0.1759,280555.0687
Tulcea,3. COMUNA,MIHAI BRAVU,1010,215,0.2129,0.1172,4300.0000,0.0000,20200.0000,4300000.0000,2366537.2786,0.1026,0.1688,474287.5148
Tulcea,3. COMUNA,MIHAIL KOGALNICEANU,1138,141,0.1239,0.1219,2820.0000,0.0000,22760.0000,2820000.0000,2774011.8198,0.1142,0.1415,555951.1713
Tulcea,3. COMUNA,NICULITEL,1810,188,0.1039,0.0968,3760.0000,0.0000,36200.0000,3760000.0000,3505061.5114,0.0832,0.1111,702463.8608
Tulcea,3. COMUNA,NUFARU,1236,290,0.2346,0.1318,5800.0000,0.0000,24720.0000,5800000.0000,3257113.1450,0.1273,0.2141,652771.5041
Tulcea,3. COMUNA,OSTROV,990,142,0.1434,0.0808,2840.0000,0.0000,19800.0000,2840000.0000,1599632.1814,0.0719,0.1253,320588.8953
Tulcea,3. COMUNA,PECENEAGA,865,77,0.0890,0.0852,1540.0000,0.0000,17300.0000,1540000.0000,1473484.7390,0.0680,0.0943,295307.1651
Tulcea,3. COMUNA,SFANTU GHEORGHE,627,122,0.1946,0.1161,2440.0000,0.0000,12540.0000,2440000.0000,1455430.5904,0.1018,0.1777,291688.8586
Tulcea,3. COMUNA,SLAVA CERCHEZA,1369,121,0.0884,0.0877,2420.0000,0.0000,27380.0000,2420000.0000,2400882.2452,0.0712,0.1015,481170.7314
Tulcea,3. COMUNA,SMARDAN,507,59,0.1164,0.0928,1180.0000,0.0000,10140.0000,1180000.0000,940608.9369,0.0796,0.1213,188511.3237
Tulcea,3. COMUNA,SOMOVA,2344,450,0.1920,0.1345,9000.0000,0.0000,46880.0000,9000000.0000,6305193.6864,0.1286,0.1881,1263649.9204
Tulcea,1. MUNICIPIU,TULCEA,35730,11712,0.3278,0.2821,234240.0000,0.0000,714600.0000,234240000.0000,201613500.8538,0.2901,0.3496,40406194.7931
Tulcea,3. COMUNA,I.C. BRATIANU,559,88,0.1574,0.1037,1760.0000,0.0000,11180.0000,1760000.0000,1159783.9143,0.0812,0.1439,232437.0866
Arad,2. ORAS,NADLAC,3147,746,0.2371,0.1935,14920.0000,0.0000,62940.0000,14920000.0000,12180660.6739,0.1824,0.2368,310238.4873
Arad,3. COMUNA,BUTENI,1469,403,0.2743,0.1879,8060.0000,0.0000,29380.0000,8060000.0000,5521059.6586,0.1843,0.2708,140620.0569
Arad,3. COMUNA,CHISINDIA,711,126,0.1772,0.1529,2520.0000,0.0000,14220.0000,2520000.0000,2173998.6022,0.1428,0.1724,55371.2197
Arad,3. COMUNA,CONOP,978,113,0.1155,0.1054,2260.0000,0.0000,19560.0000,2260000.0000,2061053.7865,0.0956,0.1152,52494.5425
Arad,3. COMUNA,DEZNA,665,183,0.2752,0.1715,3660.0000,0.0000,13300.0000,3660000.0000,2281506.1606,0.1767,0.2660,58109.4112
Arad,3. COMUNA,DIECI,762,134,0.1759,0.1683,2680.0000,0.0000,15240.0000,2680000.0000,2564748.5354,0.1483,0.1788,65323.5261
Arad,3. COMUNA,USUSAU,628,72,0.1146,0.1094,1440.0000,0.0000,12560.0000,1440000.0000,1373721.5475,0.0946,0.1152,34988.3562
Arad,3. COMUNA,GHIOROC,1991,579,0.2908,0.2252,11580.0000,0.0000,39820.0000,11580000.0000,8965574.1299,0.2458,0.3222,228351.0090
Tulcea,3. COMUNA,HORIA,622,65,0.1045,0.0877,1300.0000,0.0000,12440.0000,1300000.0000,1091327.9269,0.0793,0.1074,218717.5393
Tulcea,3. COMUNA,MAHMUDIA,1168,199,0.1704,0.1255,3980.0000,0.0000,23360.0000,3980000.0000,2932697.5779,0.1315,0.1873,587754.0398
Timis,3. COMUNA,BUCOVAT,1320,646,0.4894,0.3046,12920.0000,0.0000,26400.0000,12920000.0000,8040155.6616,0.2992,0.4669,2334419.7673
Timis,3. COMUNA,OTELEC,689,198,0.2874,0.2369,3960.0000,0.0000,13780.0000,3960000.0000,3263940.4663,0.2246,0.2974,947669.1080
Tulcea,3. COMUNA,TOPOLOG,1753,157,0.0896,0.0788,3140.0000,0.0000,35060.0000,3140000.0000,2761334.8408,0.0605,0.0899,553410.5255
Vrancea,3. COMUNA,JARISTEA,1808,261,0.1444,0.1286,5220.0000,0.0000,36160.0000,5220000.0000,4649339.7075,0.1151,0.1526,167.1731
Vaslui,3. COMUNA,PUSCASI,1190,111,0.0933,0.0928,2220.0000,0.0000,23800.0000,2220000.0000,2207780.9450,0.0848,0.0989,74200.3723
Vrancea,1. MUNICIPIU,FOCSANI,37075,12366,0.3335,0.2837,247320.0000,0.0000,741500.0000,247320000.0000,210380987.0158,0.2726,0.3464,7564.5242
Vrancea,2. ORAS,PANCIU,3880,888,0.2289,0.1753,17760.0000,0.0000,77600.0000,17760000.0000,13607067.3009,0.1507,0.2196,489.2599
Vrancea,3. COMUNA,CAMPINEANCA,2025,556,0.2746,0.1695,11120.0000,0.0000,40500.0000,11120000.0000,6865849.9942,0.1382,0.2506,246.8706
Vrancea,3. COMUNA,GOLESTI,1857,520,0.2800,0.1678,10400.0000,0.0000,37140.0000,10400000.0000,6230279.5160,0.1390,0.2591,224.0179
Vrancea,3. COMUNA,ANDREIASU DE JOS,687,101,0.1470,0.1360,2020.0000,0.0000,13740.0000,2020000.0000,1868370.7821,0.1295,0.1514,67.1797
Vrancea,3. COMUNA,BOLOTESTI,2129,317,0.1489,0.1435,6340.0000,0.0000,42580.0000,6340000.0000,6109418.1939,0.1198,0.1567,219.6721
Vrancea,3. COMUNA,BORDESTI,833,103,0.1236,0.1133,2060.0000,0.0000,16660.0000,2060000.0000,1887284.1904,0.1135,0.1373,67.8598
Vrancea,3. COMUNA,BROSTENI,928,162,0.1746,0.1474,3240.0000,0.0000,18560.0000,3240000.0000,2735612.9546,0.1431,0.1794,98.3626
Vrancea,3. COMUNA,CHIOJDENI,947,146,0.1542,0.1420,2920.0000,0.0000,18940.0000,2920000.0000,2689665.6897,0.1343,0.1588,96.7105
Alba,3. COMUNA,HOREA,894,117,0.1309,0.1235,2340.0000,0.0000,17880.0000,2340000.0000,2207705.8746,0.1170,0.1419,0.0000
Valcea,3. COMUNA,PRUNDENI,2060,242,0.1175,0.0846,4840.0000,0.0000,41200.0000,4840000.0000,3486650.4563,0.0806,0.1113,0.0000
Alba,3. COMUNA,INTREGALDE,403,37,0.0918,0.0860,740.0000,0.0000,8060.0000,740000.0000,693405.9943,0.0792,0.1136,0.0000
Vaslui,3. COMUNA,VIISOARA,852,50,0.0587,0.0552,1000.0000,0.0000,17040.0000,1000000.0000,940645.2778,0.0468,0.0604,31613.7477
Vaslui,3. COMUNA,VINDEREI,1915,128,0.0668,0.0577,2560.0000,0.0000,38300.0000,2560000.0000,2210996.0408,0.0606,0.0727,74308.4271
Vaslui,3. COMUNA,VOINESTI,1526,441,0.2890,0.0885,8820.0000,0.0000,30520.0000,8820000.0000,2702372.5879,0.0770,0.2514,90822.8928
Vaslui,3. COMUNA,VULTURESTI,1023,131,0.1281,0.1040,2620.0000,0.0000,20460.0000,2620000.0000,2126832.6840,0.0949,0.1279,71479.8166
Vaslui,3. COMUNA,ZORLENI,3172,292,0.0921,0.0872,5840.0000,0.0000,63440.0000,5840000.0000,5533518.4355,0.0871,0.1125,185973.6714
Vaslui,3. COMUNA,IBANESTI,684,65,0.0950,0.0950,1300.0000,0.0000,13680.0000,1300000.0000,1299679.0939,0.0841,0.1000,43680.3628
Vaslui,3. COMUNA,FRUNTISENI,701,64,0.0913,0.0818,1280.0000,0.0000,14020.0000,1280000.0000,1146850.3246,0.0774,0.0914,38544.0056
Vaslui,3. COMUNA,RAFAILA,679,83,0.1222,0.1068,1660.0000,0.0000,13580.0000,1660000.0000,1450328.6798,0.0805,0.1233,48743.4807
Vaslui,3. COMUNA,POGONESTI,684,50,0.0731,0.0728,1000.0000,0.0000,13680.0000,1000000.0000,995246.6336,0.0664,0.0792,33448.8215
Vaslui,3. COMUNA,MUNTENII DE SUS,1234,130,0.1053,0.0958,2600.0000,0.0000,24680.0000,2600000.0000,2363319.9373,0.0865,0.1067,79427.8162
Vaslui,3. COMUNA,POCHIDIA,805,73,0.0907,0.0821,1460.0000,0.0000,16100.0000,1460000.0000,1321803.3053,0.0807,0.0922,44423.9260
Alba,3. COMUNA,IGHIU,2468,515,0.2087,0.1719,10300.0000,0.0000,49360.0000,10300000.0000,8484042.9920,0.1565,0.2007,0.0000
Alba,3. COMUNA,CIUGUD,1317,449,0.3409,0.1549,8980.0000,0.0000,26340.0000,8980000.0000,4079996.9897,0.1418,0.2571,0.0000
Vrancea,3. COMUNA,RACOASA,1488,179,0.1203,0.1149,3580.0000,0.0000,29760.0000,3580000.0000,3419747.0514,0.1111,0.1339,122.9615
Alba,1. MUNICIPIU,BLAJ,7538,1454,0.1929,0.1871,29080.0000,0.0000,150760.0000,29080000.0000,28214391.9362,0.1841,0.2245,0.0000
Vrancea,3. COMUNA,NEGRILESTI,866,156,0.1801,0.1464,3120.0000,0.0000,17320.0000,3120000.0000,2535639.6770,0.1319,0.1839,91.1722
Vrancea,3. COMUNA,PLOSCUTENI,1038,107,0.1031,0.1014,2140.0000,0.0000,20760.0000,2140000.0000,2105809.0707,0.0889,0.1096,75.7171
Alba,1. MUNICIPIU,ALBA IULIA,35518,12113,0.3410,0.2632,242260.0000,0.0000,710360.0000,242260000.0000,186977377.5589,0.2472,0.3383,0.0000
Vrancea,3. COMUNA,BILIESTI,1054,298,0.2827,0.1262,5960.0000,0.0000,21080.0000,5960000.0000,2661026.3307,0.1158,0.2297,95.6807
Vrancea,3. COMUNA,GOLOGANU,1178,188,0.1596,0.1420,3760.0000,0.0000,23560.0000,3760000.0000,3344848.9711,0.1245,0.1640,120.2684
Vrancea,3. COMUNA,OBREJITA,593,64,0.1079,0.1008,1280.0000,0.0000,11860.0000,1280000.0000,1195115.6058,0.0870,0.1099,42.9719
Vrancea,3. COMUNA,RASTOACA,901,175,0.1942,0.1493,3500.0000,0.0000,18020.0000,3500000.0000,2690796.5006,0.1374,0.1841,96.7511
Alba,1. MUNICIPIU,SEBES,11692,3385,0.2895,0.1983,67700.0000,0.0000,233840.0000,67700000.0000,46362058.5073,0.1945,0.2804,0.0000
Alba,3. COMUNA,BUCIUM,983,164,0.1668,0.1610,3280.0000,0.0000,19660.0000,3280000.0000,3164806.5629,0.1523,0.1806,0.0000
Vrancea,3. COMUNA,GAROAFA,1865,331,0.1775,0.1630,6620.0000,0.0000,37300.0000,6620000.0000,6078268.3303,0.1436,0.1824,218.5521
